polity_id,figure_id,name,role,years,significance
nabataean_kingdom,aretas_iv,Aretas IV,ruler,-9/40,"Greatest Nabataean king; ruled 49 years; his building programme created much of what survives at Petra; his daughter married Herod Antipas, whose divorce triggered John the Baptist's execution"
goguryeo,gwanggaeto_great,Gwanggaeto the Great,ruler,374/413,"Expanded Goguryeo to its greatest extent — 64 walled cities and 1,400 villages conquered; his stele is the primary source for early Korean history; called 'Great King who Broadly Extended Territory'"
goguryeo,eulji_mundeok,Eulji Mundeok,military,?/?,Defeated Sui Emperor Yang's million-man invasion (612) using strategic retreat and the Battle of Salsu; one of the greatest defensive victories in East Asian history; the Sui Dynasty never recovered
roman_empire,augustus,Augustus (Octavian),founder,-63/14,Created the imperial system; the Pax Romana began with him
roman_empire,marcus_aurelius,Marcus Aurelius,ruler,121/180,Philosopher-emperor; his Meditations is the definitive Stoic text
roman_empire,constantine_i,Constantine I,reformer,272/337,Legalized Christianity; founded Constantinople; shifted imperial ideology
sassanid_empire,ardashir_i,Ardashir I,founder,180/242,Overthrew the Parthians; revived Persian and Zoroastrian identity
sassanid_empire,shapur_i,Shapur I,ruler,215/272,Captured Roman Emperor Valerian — the only Roman emperor taken prisoner by a foreign enemy
sassanid_empire,khosrow_i,Khosrow I (Anushirvan),ruler,501/579,The ideal Persian king; reformed taxation; translated Greek philosophy into Pahlavi
yamato_period,prince_shotoku,Prince Shotoku,ruler,574/622,Authored the Seventeen-Article Constitution and promoted Buddhism.
gupta_empire,samudragupta,Samudragupta,ruler,335/380,Military genius and poet; the Napoleon and Augustus of India
gupta_empire,aryabhata,Aryabhata,cultural,476/550,Calculated pi; proposed a heliocentric model; developed zero as a number
hunnic_empire,attila,Attila,ruler,406/453,Scourge of God; defeated Roman and Germanic armies; received tribute from both Eastern and Western Rome; his death at a wedding feast collapsed the empire overnight
roman_empire,theodosius_i,Theodosius I,ruler,346/395,Made Christianity the state religion; the last emperor to rule unified empire
western_roman_empire,flavius_aetius,Flavius Aetius,general,391/454,Last great Roman general; defeated Attila at Catalaunian Fields
western_roman_empire,romulus_augustulus,Romulus Augustulus,last_ruler,461/511,Last Western Roman emperor; deposed by Odoacer in 476
byzantine_empire,justinian_i,Justinian I,ruler,482/565,Reconquered the Western Mediterranean; codified Roman law (Corpus Juris Civilis)
byzantine_empire,basil_ii,Basil II (Bulgaroktonos),ruler,958/1025,Expanded Byzantium to its greatest medieval extent
byzantine_empire,constantine_xi,Constantine XI Palaiologos,last_ruler,1404/1453,Died defending Constantinople in 1453; the last Roman emperor
visigothic_kingdom,reccared_i,Reccared I,ruler,559/601,Converted the Visigothic kingdom from Arianism to Catholicism at the Third Council of Toledo (589) — unified Goths and Romans under one church; the most important act of Visigothic kingship
visigothic_kingdom,rodrigo_visigoth,Rodrigo (Roderic),ruler,?/711,Last Visigothic king; defeated and killed at the Battle of Guadalete (711) by the Umayyad Muslim army under Tariq ibn Ziyad — the end of Visigothic Spain
vandal_kingdom,gaiseric,Gaiseric (Geiseric),founder,389/477,"Greatest Vandal king; crossed into Africa with 80,000 people (429); built a naval empire; sacked Rome (455) — the second sack in 45 years; the only Germanic king to seriously challenge Roman naval supremacy"
odoacer_kingdom,odoacer,Odoacer,founder,433/493,"Deposed Romulus Augustulus (476), ending the Western Roman Empire; sent the imperial regalia to Constantinople signalling that one emperor sufficed; ruled Italy competently for 17 years before Theodoric's treacherous assassination"
carolingian_empire,clovis_i,Clovis I,founder,466/511,United the Frankish tribes; converted to Catholic Christianity 496 — the act that aligned the Franks with the papacy against the Arian Visigoths and Burgundians; baptism at Reims is the symbolic founding of Christian France
carolingian_empire,charlemagne,Charlemagne (Karl der Große),ruler,747/814,The greatest medieval European ruler; unified most of western Europe; crowned Emperor 800; the 'Father of Europe'. Both France and Germany claim him as their founding king.
carolingian_empire,louis_pious,Louis the Pious,ruler,778/840,Charlemagne's heir; pious but ineffective at holding the empire together against his sons' civil wars; his death triggered the Treaty of Verdun partition
ostrogothic_kingdom,theodoric_great,Theodoric the Great,founder,454/526,Conquered Italy by killing Odoacer at a peace banquet (493); ruled the most sophisticated post-Roman Germanic state; his court at Ravenna preserved Roman learning; the closest thing to a 'barbarian king who was also a Roman statesman'
ostrogothic_kingdom,boethius,Boethius,cultural,477/524,Roman senator and philosopher at Theodoric's court; wrote the Consolation of Philosophy while awaiting execution; the most widely read book in medieval Europe after the Bible
goktürk_khaganate,bumin_qaghan,Bumin Qaghan,founder,/552,First use of the title Khagan; founded the first explicitly Turkic empire
goktürk_khaganate,bilge_qaghan,Bilge Qaghan,ruler,683/734,Documented in the Orkhon inscriptions — the oldest known Turkic texts
lombard_kingdom,alboin,Alboin,founder,?/572,Led the Lombard invasion of Italy (568); conquered the Po Valley; established the kingdom with Pavia as capital; assassinated by his wife Rosamund (he had made a drinking cup from her father's skull)
lombard_kingdom,liutprand_lombard,Liutprand,ruler,690/744,"Greatest Lombard king; expanded territory, reformed laws, patronised the church; his campaigns against Rome prompted the papacy to seek Frankish protection — ultimately leading to the Carolingian conquest"
avar_khaganate,bayan_i,Bayan I,founder,/602,First great Avar Khagan; defeated the Frankish kingdom; established Avar dominance over the middle Danube basin
sui_dynasty,emperor_wen_sui,Emperor Wen (Yang Jian),founder,541/604,Reunified China after 370 years of division; built the Grand Canal
harsha_empire,harshavardhana,Harshavardhana,ruler,590/647,Unified northern India after the Gupta collapse; patron of Nalanda university; personally practiced Buddhism while ruling a Hindu state; wrote three Sanskrit plays
tang_dynasty,emperor_taizong,Emperor Taizong (Li Shimin),ruler,598/649,Considered China greatest emperor; his Zhenguan era is the model of virtuous governance
tang_dynasty,wu_zetian,Wu Zetian,ruler,624/705,The only woman in Chinese history to hold the title of Empress Regnant
tang_dynasty,li_bai,Li Bai,cultural,701/762,Greatest Tang poet; defines the image of Tang cosmopolitan culture
rashidun_caliphate,abu_bakr,Abu Bakr,founder,573/634,First Caliph; held the Muslim community together after Muhammad death
rashidun_caliphate,umar_ibn_khattab,Umar ibn al-Khattab,ruler,584/644,"Conquered Persia, Syria, and Egypt in a decade; established Islamic governance foundations"
rashidun_caliphate,khalid_ibn_walid,Khalid ibn al-Walid,general,585/642,Undefeated general; called the Sword of Allah
khazar_khaganate,bulan,Bulan,reformer,740/800,The Khazar ruler who converted to Judaism
umayyad_caliphate,muawiya_i,Muawiya I,founder,602/680,Founded the Umayyad dynasty; shifted the caliphate from elective to hereditary
umayyad_caliphate,tariq_ibn_ziyad,Tariq ibn Ziyad,general,670/720,Conquered Visigothic Spain (711); Gibraltar is named after him (Jabal Tariq)
first_bulgarian_empire,asparuh,Asparuh (Asparukh),founder,644/701,Led the Bulgars across the Danube and defeated Byzantium (681); founded the First Bulgarian Empire; Bulgaria is the oldest state in Europe whose name has not changed
first_bulgarian_empire,simeon_i_great,Simeon I the Great,ruler,864/927,The Bulgarian Golden Age; defeated Byzantium multiple times; claimed title of Emperor (Tsar) of the Bulgarians and Romans; patron of Old Church Slavonic literature
first_bulgarian_empire,basil_ii_nemesis,Basil II's Destruction,military,958/1025,"Byzantine Emperor who finally destroyed the First Bulgarian Empire; blinded 15,000 Bulgarian prisoners (1014); earned the epithet 'Bulgar-Slayer'"
al_andalus,abd_al_rahman_iii,Abd al-Rahman III,ruler,889/961,Declared Caliph of Córdoba (929); presided over the golden age of Al-Andalus; Córdoba under his rule was the most sophisticated city in Europe
al_andalus,averroes,Averroes (Ibn Rushd),cultural,1126/1198,The greatest Islamic philosopher; his commentaries on Aristotle transmitted classical Greek philosophy to medieval Europe through Latin translations — sparked the European scholastic tradition
al_andalus,boabdil,Muhammad XII (Boabdil),ruler,1460/1533,"Last ruler of Granada; surrendered the Alhambra to Ferdinand and Isabella on January 2, 1492 — the last Muslim ruler in Iberia. Legend: he wept as he left, and his mother said 'Weep like a woman for what you could not defend as a man'"
uyghur_khaganate,bayanchur_khan,Bayanchur Khan,founder,/759,Founded the Uyghur Khaganate; adopted Manichaeism as state religion
abbasid_caliphate,al_mansur,Al-Mansur,founder,714/775,Built Baghdad; the city became the largest in the world
abbasid_caliphate,harun_al_rashid,Harun al-Rashid,ruler,763/809,The golden-age Caliph of the Thousand and One Nights; patron of the House of Wisdom
pala_empire,dharmapala,Dharmapala,ruler,770/810,Second and greatest Pala king; expanded the empire from Bengal to Afghanistan; built Vikramashila university
pala_empire,devapala,Devapala,ruler,810/850,Extended Pala power to its greatest extent; maintained relations with Srivijaya in Southeast Asia; endowed Nalanda monastery
samanid_empire,ismail_samani,Ismail Samani,founder,849/907,Unified the Samanid domains and defeated the Saffarids; made Bukhara the capital of the Persian Renaissance; his mausoleum in Bukhara is one of the earliest surviving Islamic buildings in Central Asia
samanid_empire,rudaki,Rudaki,cultural,858/941,Father of Persian poetry; wrote the first major poems in New Persian at the Samanid court; his work established the conventions of classical Persian verse — though only fragments survive
samanid_empire,avicenna_samanid,Ibn Sina (Avicenna),cultural,980/1037,Greatest medieval physician and philosopher; his Canon of Medicine was the primary medical textbook in Europe until the 17th century; grew up in Bukhara using the Samanid royal library
kingdom_of_scotland,kenneth_macalpin,Kenneth MacAlpin,founder,810/858,United the Pictish and Gaelic kingdoms; traditionally the first King of Scotland
kingdom_of_scotland,william_wallace,William Wallace,military,1270/1305,Led Scottish resistance against Edward I after Stirling Bridge (1297); executed in London; became Scotland's enduring national hero
kingdom_of_scotland,robert_bruce,Robert I the Bruce,ruler,1274/1329,Won Scottish independence at Bannockburn (1314); the Declaration of Arbroath (1320) is among the earliest assertions of popular sovereignty
kingdom_of_scotland,mary_queen_of_scots,Mary Queen of Scots,ruler,1542/1587,Catholic queen deposed by Protestant lords; imprisoned by Elizabeth I for 19 years; executed — her son James VI inherited England as James I
kingdom_of_norway,harald_fairhair,Harald Fairhair,founder,850/933,First King of Norway; his centralisation drove many Norse families to settle Iceland and the Atlantic islands
kingdom_of_norway,olaf_haraldsson,Olaf II Haraldsson (Saint Olaf),ruler,995/1030,Completed Norway's Christianisation; killed at Stiklestad; became Norway's patron saint
kingdom_of_norway,haakon_iv,Haakon IV Haakonsson,ruler,1204/1263,Peak of medieval Norwegian power; incorporated Iceland and Greenland; died following the Battle of Largs against Scotland
kievan_rus_regime,rurik,Rurik,founder,830/879,Legendary Varangian founder of the Rurikid dynasty; invited to rule Novgorod; his descendants ruled Russia until 1598
kievan_rus_regime,vladimir_great,Vladimir I the Great,ruler,958/1015,"Baptised himself and all of Kiev in the Dnieper in 988 — the Christianisation of Rus. Chose Orthodoxy over Catholicism, Islam, or Judaism after famously sending envoys to observe each faith's worship"
kievan_rus_regime,yaroslav_wise,Yaroslav the Wise,ruler,978/1054,"Peak of Kievan Rus; codified the Rus Pravda (first law code); built Saint Sophia in Kiev; married his daughters to the kings of France, Hungary, and Norway"
bagratid_armenia,ashot_i,Ashot I the Great,founder,820/890,Acknowledged as King of Kings of Armenia by both Byzantine and Abbasid courts; restored Armenian independence after two centuries of Arab domination
bagratid_armenia,gagik_i,Gagik I,ruler,?/1020,"Greatest Bagratid king; Ani at its height was one of the world's great cities with 100,000 inhabitants and the Cathedral of Ani"
kingdom_of_bohemia,wenceslas_i,Wenceslas I (Good King Wenceslas),ruler,907/935,Patron saint of Bohemia; murdered by his brother; Christianised Bohemia's court culture
kingdom_of_bohemia,charles_iv_bohemia,Charles IV,ruler,1316/1378,Also HRE Emperor; made Prague the imperial capital; founded Charles University (1348); issued the Golden Bull; the peak of Bohemian prestige
kingdom_of_bohemia,jan_hus,Jan Hus,cultural,1369/1415,"Theologian and church reformer burned at Constance; his execution triggered the Hussite Wars — a century before the Reformation, Bohemia was already there"
liao_dynasty,abaoji,Abaoji (Emperor Taizu of Liao),founder,872/926,United the Khitan tribes; created the Khitan script; invented the dual-administration system
fatimid_caliphate,al_muizz,Al-Muizz li-Din Allah,founder,932/975,Founded Cairo; established Al-Azhar mosque and university
kingdom_of_england,alfred_the_great,Alfred the Great,founder,849/899,Defended Wessex against the Great Heathen Army; unified the English against the Vikings; laid the foundation for the unified Kingdom of England
kingdom_of_england,william_conqueror,William I the Conqueror,ruler,1028/1087,"Norman duke who conquered England at Hastings (1066); transformed English society, language, and architecture overnight"
kingdom_of_england,edward_i,Edward I,ruler,1239/1307,"Conquered Wales, attempted conquest of Scotland; reformed English law; expelled the Jews (1290)"
kingdom_of_england,henry_v,Henry V,ruler,1386/1422,Won Agincourt (1415) against impossible odds; by Treaty of Troyes was heir to the French throne — died at 35 with it nearly in reach
kingdom_of_england,elizabeth_i,Elizabeth I,ruler,1533/1603,"Elizabethan golden age; defeated the Spanish Armada (1588); presided over Shakespeare, Marlowe, and the birth of English colonialism"
kingdom_of_denmark,harald_bluetooth,Harald Bluetooth,ruler,958/986,United the Danish tribes; converted Denmark to Christianity; the Bluetooth wireless protocol is named after him
kingdom_of_denmark,cnut_great,Cnut the Great,ruler,990/1035,"Simultaneously ruled England, Denmark, and Norway — the North Sea Empire; the most powerful ruler of his era"
kingdom_of_denmark,margaret_i,Margaret I,ruler,1353/1412,Architect of the Kalmar Union; the only woman to rule all three Scandinavian kingdoms simultaneously
holy_roman_empire,otto_i,Otto I the Great,founder,912/973,"Defeated the Magyars at Lechfeld (955); crowned emperor by the pope 962, founding the HRE"
holy_roman_empire,frederick_barbarossa,Frederick I Barbarossa,ruler,1122/1190,The iconic medieval emperor; fought the Italian communes and the Lombard League; died on the Third Crusade
holy_roman_empire,frederick_ii_hre,Frederick II,ruler,1194/1250,"Stupor Mundi — spoke six languages, patronised science, negotiated Jerusalem back through diplomacy rather than war; the most remarkable medieval ruler"
holy_roman_empire,charles_v_hre,Charles V,ruler,1500/1558,"Ruled the HRE, Spain, Naples, and the Americas simultaneously; presided over the Reformation crisis; abdicated exhausted"
kingdom_of_poland,mieszko_i,Mieszko I,founder,935/992,First historical ruler of Poland; his baptism in 966 placed Poland in the Latin Christian world and is the founding date of the Polish state
kingdom_of_poland,casimir_iii_great,Casimir III the Great,ruler,1310/1370,"'Found Poland wood, left it stone' — built dozens of castles and towns; codified Polish law; welcomed Jewish refugees fleeing Western European pogroms"
kingdom_of_poland,jadwiga,Jadwiga,ruler,1373/1399,"First female King of Poland; married Jogaila of Lithuania, creating the personal union that would become the largest state in Europe"
kingdom_of_sweden,gustav_vasa,Gustav I Vasa,founder,1496/1560,Led rebellion against the Kalmar Union; founded modern Sweden; introduced the Lutheran Reformation; established the Vasa dynasty
kingdom_of_sweden,gustav_ii_adolf,Gustav II Adolf (Gustavus Adolphus),ruler,1594/1632,The Lion of the North; military genius who made Sweden a Great Power; died at Lützen championing Protestantism in the Thirty Years' War
kingdom_of_sweden,charles_xii,Charles XII,ruler,1682/1718,"Brilliant but reckless; defeated Russia, Poland, and Denmark separately before losing to Peter the Great at Poltava (1709) — ending Sweden's Great Power status"
ghaznavid_empire,mahmud_of_ghazni,Mahmud of Ghazni,ruler,971/1030,Greatest Ghaznavid ruler; 17 raids into India; destroyed the Hindu Shahi kingdom; sacked the temple of Somnath (1025); patron of Persian literature — Ferdowsi's Shahnameh was dedicated to him
ghaznavid_empire,ferdowsi,Ferdowsi,cultural,940/1020,Persian poet who wrote the Shahnameh (Book of Kings) at Mahmud's court — the national epic of Iran; preserved pre-Islamic Persian history and myth; one of the greatest works of world literature
kingdom_of_france,hugh_capet,Hugh Capet,founder,941/996,Founded the Capetian dynasty that ruled France continuously for 800 years
kingdom_of_france,philip_ii_augustus,Philip II Augustus,ruler,1165/1223,Tripled royal territory; defeated the Plantagenets and Holy Roman Empire at Bouvines (1214) — the battle that made France the dominant western power
kingdom_of_france,louis_ix,Louis IX (Saint Louis),ruler,1214/1270,"The ideal medieval Christian king; reformed justice, lived ascetically, led two crusades; canonised 1297"
kingdom_of_france,joan_of_arc,Joan of Arc,cultural,1412/1431,"Turned the Hundred Years' War; her voices inspired Charles VII's reconquest of France from England; burned by the English, canonised 1920"
kingdom_of_france,louis_xiv,Louis XIV,ruler,1638/1715,"The Sun King; ruled 72 years personally; built Versailles; made France the cultural hegemon of Europe; 'L'état, c'est moi'"
kingdom_of_hungary,stephen_i,Stephen I (Saint Stephen),founder,975/1038,"Christianised Hungary, received a crown from Rome, and transformed nomadic Magyar tribal society into a medieval Christian kingdom; patron saint of Hungary"
kingdom_of_hungary,john_hunyadi,John Hunyadi,military,1406/1456,Defender of Christendom against the Ottomans; won the Battle of Belgrade (1456); his son became Matthias Corvinus
kingdom_of_hungary,matthias_corvinus,Matthias Corvinus,ruler,1443/1490,"Renaissance king; built the Bibliotheca Corviniana, one of Europe's greatest libraries; centralised power and modernised Hungary to its medieval peak"
seljuk_empire,tughril,Tughril,founder,990/1063,Entered Baghdad (1055) as Abbasid protector; received the title Sultan
seljuk_empire,alp_arslan,Alp Arslan,ruler,1029/1072,Defeated Byzantium at Manzikert (1071) — opened Anatolia to Turkic settlement
seljuk_empire,nizam_al_mulk,Nizam al-Mulk,administrator,1018/1092,Grand vizier; his Siyasatnama is the masterwork of Persian administrative theory
seljuk_empire,omar_khayyam,Omar Khayyam,cultural,1048/1131,"Mathematician, astronomer, and poet (Rubaiyat); pinnacle of Seljuk Persian intellectual culture"
seljuk_rum,rumi,Jalal ad-Din Rumi,cultural,1207/1273,Composed the Masnavi in Persian at the Konya court; founder of the Mevlevi order; most widely read poet in the world
jin_jurchen,wanyan_aguda,Wanyan Aguda (Emperor Taizu of Jin),founder,1068/1123,United the Jurchen tribes; created the Jurchen script to resist cultural assimilation
angevin_empire,henry_ii_angevin,Henry II Plantagenet,founder,1133/1189,Built the Angevin Empire through inheritance and marriage to Eleanor of Aquitaine; ruled more French territory than the King of France himself; married his daughters into European royalty
angevin_empire,john_lacking,John Lackland (Jean sans Terre),ruler,1166/1216,Lost Normandy and the Angevin lands to Philip II of France; his incompetence ended the continental empire. Forced to sign Magna Carta (1215); a byword for disastrous kingship
ayyubid_sultanate,saladin,Saladin (Salah ad-Din),founder,1137/1193,Recaptured Jerusalem from the Crusaders (1187); defining figure of Islamic resistance to the Crusades
serbian_empire,stefan_nemanja,Stefan Nemanja,founder,1113/1199,Founded the Nemanjić dynasty and unified the Serbian tribes; abdicated to become a monk (Saint Simeon); his son Sava established the autocephalous Serbian Orthodox Church
serbian_empire,stefan_dusan,Stefan Dušan,ruler,1308/1355,The greatest Serbian medieval ruler; crowned Emperor of the Serbs and Greeks 1346; expanded Serbia across the Balkans; his legal code (Dušan's Code) remains foundational
serbian_empire,lazar_hrebeljanovic,Lazar Hrebeljanović,military,1329/1389,Led the Serbian coalition at the Battle of Kosovo (1389) against the Ottomans; killed in battle; became a martyr saint of the Serbian Orthodox Church; Kosovo remains the most sacred site in Serbian national memory
khwarazmian_empire,ala_ad_din_muhammad,Ala ad-Din Muhammad II,ruler,1169/1220,"Built the Khwarazmian Empire to its peak then destroyed it by executing Genghis Khan's merchants and diplomats; triggered the Mongol invasion that killed millions and permanently depopulated Central Asia; fled across Persia pursued by Mongol forces, dying on a Caspian island"
khwarazmian_empire,jalal_ad_din,Jalal ad-Din Mingburnu,military,1199/1231,Last Khwarazmian Shah; fought desperately against the Mongols for 13 years; won the Battle of Parwan (1221) — the only defeat Genghis Khan's forces suffered in Central Asia; never gave up resistance until killed by assassins
delhi_sultanate,qutb_ud_din_aibak,Qutb ud-Din Aibak,founder,1150/1210,Founded the Delhi Sultanate; built the Qutb Minar
delhi_sultanate,alauddin_khalji,Alauddin Khalji,ruler,1266/1316,Most powerful Delhi Sultan; repelled multiple Mongol invasions
mongol_empire,genghis_khan,Genghis Khan,founder,1162/1227,Greatest conqueror by territory in history; created the Yasa and the meritocratic military system
mongol_empire,ogedei_khan,Ogedei Khan,ruler,1186/1241,Completed the conquest of North China; launched the invasion of Europe
chagatai_khanate,chagatai_khan,Chagatai Khan,founder,1183/1242,Second son of Genghis Khan; Chagatai Turkic language is named after him
teutonic_order,hermann_von_salza,Hermann von Salza,founder,1179/1239,Grand Master who organised the Baltic conquest; diplomatically shrewd — kept the Order independent between pope and emperor
teutonic_order,ulrich_von_jungingen,Ulrich von Jungingen,military,1360/1410,Grand Master killed at Grunwald (1410) — the Order's catastrophic defeat that ended its dominance of the Baltic
