id,name,state_id,id_ruling_ethnicity,id_ruling_language,id_ruling_religion,government,territories,start,end,policies,note
kingdom_of_urartu,Kingdom of Urartu,,caucasian,aramaic,zoroastrianism,feudal_monarchy,caucasus,-860,-590,,The Iron Age kingdom centered on Lake Van (modern eastern Turkey/Armenia). Urartu was a major rival of the Neo-Assyrian Empire for control of the Armenian Highlands. Known for impressive metalwork (Urartian bronzes) and large-scale irrigation systems. Destroyed by the Scythian/Median coalition around 590 BCE. The Armenian people are their cultural successors.
roman_kingdom,Roman Kingdom,,latin,latin,roman_paganism,monarchy,italy,-753,-509,,
median_kingdom,Median Kingdom,,median,median_lang,zoroastrianism,feudal_monarchy,iran_plateau|caucasus,-678,-550,,
meroitic_kingdom,Kingdom of Meroe (Meroitic Kingdom),,cushitic,ancient_egyptian,egyptian_religion,divine_monarchy,nubia,-656,350,,"After the Kushite 25th Dynasty was expelled from Egypt by the Assyrians (-656), Nubian power retreated south to Meroe on the Nile. Meroe developed a distinct civilisation with its own undeciphered script (Meroitic), iron smelting industry, and distinctive pyramid style (steeper than Egyptian). Ruled by queen-regents (Kandakes) alongside or instead of kings. Fell to the Aksumite kingdom of Ethiopia around 350 CE."
neo_babylonian,Neo-Babylonian (Chaldean) Empire,,babylonian,akkadian,mesopotamian_religion,imperial_monarchy,mesopotamia|levant,-626,-539,,Nebuchadnezzar II; Chaldean dynasty deliberately revived ancient Babylonian identity
achaemenid_empire,Achaemenid Empire,,persian,old_persian,zoroastrianism,imperial_monarchy,iran_plateau|khorasan|anatolia|mesopotamia|levant|egypt|transoxiana,-550,-330,cyrus_tolerance,Used Aramaic as the administrative lingua franca but Persian was the dynastic identity; Cyrus was notably religiously tolerant
roman_republic,Roman Republic,,latin,latin,roman_paganism,republic,italy|balkans|north_africa|iberia|gaul,-509,-27,,
macedonian_empire,Macedonian Empire (Alexander),,macedonian,ancient_greek,hellenic_paganism,imperial_monarchy,anatolia|levant|egypt|mesopotamia|iran_plateau|khorasan|transoxiana,-336,-323,,
maurya_empire,Maurya Empire,,indo_aryan,classical_sanskrit,hinduism,imperial_monarchy,ganges_plain|indus_valley|punjab|deccan,-322,-185,,Ashoka converted to Buddhism and propagated it across Asia — a major religious shift mid-dynasty that changed the empire's entire ideological character
seleucid_empire,Seleucid Empire,,macedonian,koine_greek,hellenic_paganism,imperial_monarchy,anatolia|levant|mesopotamia|iran_plateau,-312,-63,,
ptolemaic_egypt,Ptolemaic Kingdom,,macedonian,koine_greek,hellenic_paganism,absolute_monarchy,egypt|levant,-305,-30,,"Greek-speaking Macedonian rulers adopted Egyptian royal titles and iconography for legitimacy, but the court was Hellenic"
parthian_empire,Parthian Empire (Arsacid),,parthian,parthian_lang,zoroastrianism,feudal_monarchy,iran_plateau|mesopotamia|khorasan,-247,224,,"Highly decentralized; Hellenized early, then reverted to Iranian/Zoroastrian identity"
satavahana_empire,Satavahana Empire,,dravidian,pali,hinduism,imperial_monarchy,deccan,-230,220,,First great Deccan empire; established the bridge between northern Aryan and southern Dravidian cultures. Patronised both Hinduism and Buddhism. Their trade networks stretched to Rome.
qin_dynasty,Qin Dynasty,,han,old_chinese,chinese_folk_religion,imperial_monarchy,yellow_river|yangtze,-221,-206,,State philosophy was Legalism — entirely different from Confucianism. Qin's brutal efficiency unified China but was ideologically rejected by every subsequent dynasty
xiongnu,Xiongnu Confederation,,turkic,old_turkic,tengriism,khaganate,mongolian_plateau|central_asian_steppe,-209,93,,
han_dynasty,Han Dynasty,,han,old_chinese,confucianism,chinese_imperial,yellow_river|yangtze,-206,220,,Established Confucianism as state ideology and the civil examination system — the template all later Chinese dynasties followed
kingdom_of_armenia,Kingdom of Armenia,,caucasian,old_armenian,zoroastrianism,feudal_monarchy,caucasus,-190,428,,The Artaxiad (Artashesian) dynasty founded the first unified Armenian state after Antiochus III's defeat by Rome. Tigranes II briefly created an Armenian empire stretching from Caspian to Mediterranean. Armenia was the first nation to adopt Christianity as state religion (301 CE). The kingdom oscillated between Roman and Parthian/Sassanid spheres until partitioned in 428.
nabataean_kingdom,Nabataean Kingdom,,semitic,aramaic,arabian_paganism,feudal_monarchy,arabia,-115,106,,"The Nabataeans were Arab traders who built Petra as their capital in the Jordanian desert — one of antiquity's great architectural achievements (the 'rose-red city'). They controlled the spice trade routes between Arabia, Egypt, and the Mediterranean. Annexed by the Roman Emperor Trajan as the province Arabia Petraea in 106 CE. Their distinctive Aramaic script evolved into modern Arabic script."
silla,Silla,,korean,old_korean,buddhism,,,-57,668,,
goguryeo,Goguryeo,,korean,old_chinese,buddhism,feudal_monarchy,manchuria|korean_peninsula,37,668,,One of the Three Kingdoms of Korea; at its peak controlled northern Manchuria and the Korean peninsula north of the Han River. Repelled three massive Sui Chinese invasions (612–614) — the failure of those campaigns contributed to the Sui Dynasty's collapse. Finally destroyed by a Tang–Silla alliance in 668. Goguryeo identity is claimed by both modern Korea and China (as part of Gaogouli history).
baekje,Baekje,,korean,old_korean,buddhism,,,-18,660,,
roman_empire_pagan,Roman Empire (Pagan),,latin,latin,roman_paganism,imperial_monarchy,italy|anatolia|levant|egypt|balkans|iberia|gaul|north_africa,-27,380,pax_romana|edict_of_milan,
cao_wei,Cao Wei,,han,old_chinese,chinese_folk_religion,,,220,265,,
shu_han,Shu Han,,han,old_chinese,chinese_folk_religion,,,221,263,,
eastern_wu,Eastern Wu,,han,old_chinese,chinese_folk_religion,,,222,280,,
sassanid_empire,Sassanid Empire,,persian,middle_persian,zoroastrianism,theocracy,iran_plateau|mesopotamia|khorasan|caucasus,224,651,,Zoroastrianism as explicit state religion; Magi priestly class wielded significant power
yamato_period,Yamato Period,,yamato,old_japanese,shinto_buddhism,centralized_monarchy,japanese_archipelago,250,710,,The emergence of the Yamato imperial line and the introduction of Buddhism and Chinese characters. Includes the Kofun and Asuka sub-periods.
western_jin,Western Jin Dynasty,,han,old_chinese,chinese_folk_religion,,,265,316,,
gupta_empire,Gupta Empire,,indo_aryan,classical_sanskrit,hinduism,imperial_monarchy,ganges_plain|indus_valley,320,550,,Hindu 'Golden Age'; Vaishnavism as court religion; classical Sanskrit literature and mathematics flourished
eastern_jin,Eastern Jin Dynasty,,han,old_chinese,chinese_folk_religion,,,317,420,,
hunnic_empire,Hunnic Empire,,steppe_nomadic,old_turkic,tengriism,khaganate,central_asian_steppe|pontic_steppe|hungary,350,453,,"Attila's confederation devastated the Roman Empire and triggered the Great Migration. The Huns are of uncertain ethnic origin (possibly Turkic, possibly mixed). Their western empire collapsed immediately after Attila's death (453)."
roman_empire_christian,Roman Empire (Christian),,latin,latin,catholic,imperial_monarchy,italy|anatolia|levant|egypt|balkans|iberia|gaul|north_africa,380,395,state_christianity,Brief period when Christianity became the state ideology; unified empire before the East-West split
northern_dynasties,Northern Dynasties,,han,old_chinese,buddhism,,,386,581,,
western_roman_empire,Western Roman Empire,,latin,latin,catholic,imperial_monarchy,italy|balkans|iberia|gaul|north_africa,395,476,,
byzantine_empire,Byzantine Empire,,hellenic,medieval_greek,eastern_orthodox,caesaropapism,anatolia|balkans|levant,395,1453,,Eastern Orthodox Christianity is inseparable from Byzantine identity; emperor as head of both church and state
visigothic_kingdom,Visigothic Kingdom,,germanic,latin,catholic,feudal_monarchy,iberia,418,711,,"The Visigoths settled in southwestern Gaul (Aquitaine) as foederati in 418; after defeat by Clovis at Vouillé (507) they retreated to Iberia, making Toledo their capital. Converted from Arianism to Catholicism in 589 under Reccared — the defining event that integrated Visigothic and Hispano-Roman populations. Destroyed by the Muslim Umayyad invasion of 711."
southern_dynasties,Southern Dynasties,,han,old_chinese,chinese_folk_religion,,,420,589,,
vandal_kingdom,Vandal Kingdom of North Africa,,germanic,latin,catholic,feudal_monarchy,north_africa,429,533,,"The Vandals crossed into North Africa in 429 under Gaiseric, having previously swept through Spain. They captured Carthage in 439, making it their capital. The Vandal fleet dominated the western Mediterranean and sacked Rome in 455. 'Vandalism' as a concept derives from their reputation, though they were no more destructive than other Germanic peoples. Destroyed by the Byzantine general Belisarius in 533 in a remarkably swift campaign."
odoacer_kingdom,Kingdom of Odoacer,,germanic,latin,catholic,feudal_monarchy,italy,476,493,,"Odoacer (Odovacer), a Germanic chieftain of Scirian/Hunnic origin, deposed the last Western Roman Emperor Romulus Augustulus on September 4, 476 — the conventional end-date of the Western Roman Empire. He ruled as King of Italy under nominal Eastern Roman suzerainty, maintaining Roman administrative structures. Defeated and killed by Theodoric the Ostrogoth at a peace banquet in Ravenna (493)."
carolingian_empire,Frankish Kingdom / Carolingian Empire,,germanic,latin,catholic,feudal_monarchy,gaul|germany|italy,486,843,carolingian_renaissance,"Clovis I unified the Franks (486) and converted to Catholic Christianity, giving the Franks papal legitimacy. Charlemagne (768–814) conquered the Saxons, Lombards, and Avars; crowned Emperor by Pope Leo III on Christmas 800. The first attempt at a unified Western European empire since Rome. Treaty of Verdun (843) split the empire into West Francia (future France), East Francia (future Germany), and Middle Francia."
ostrogothic_kingdom,Ostrogothic Kingdom of Italy,,germanic,latin,catholic,feudal_monarchy,italy,493,553,,Theodoric the Great established the most sophisticated post-Roman Germanic kingdom — a genuine synthesis of Gothic and Roman culture. He ruled through the existing Roman administrative machinery while keeping Goths as the military class. His court at Ravenna patronised art and philosophy (Boethius wrote the Consolation of Philosophy in his prison). Destroyed by the Byzantine reconquest under Justinian I (Gothic Wars 535–554).
goktürk_khaganate,Göktürk Khaganate,,turkic,old_turkic,tengriism,khaganate,mongolian_plateau|central_asian_steppe|transoxiana,552,744,,
lombard_kingdom,Kingdom of the Lombards,,germanic,latin,catholic,feudal_monarchy,italy,568,774,,"The Lombards (Langobards) invaded northern Italy in 568, exploiting the devastation left by the Gothic Wars. Unlike the Ostrogoths, they did not attempt to preserve Roman structures — their conquest was destructive and their integration slow. By the 8th century they had converted from Arianism to Catholicism and were partially Romanised. Pope Stephen II invited Charlemagne's father Pippin III, then Charlemagne himself (773–774), to defeat the Lombards; Charlemagne dissolved the kingdom and added 'King of the Lombards' to his titles."
avar_khaganate,Avar Khaganate,,steppe_nomadic,old_turkic,tengriism,khaganate,hungary|central_asian_steppe,568,804,,Avars (steppe nomads of uncertain Mongolian/Turkic origin) conquered the Carpathian basin in 568 after the Lombards left for Italy. They raided Byzantium and the Frankish kingdoms repeatedly. Charlemagne destroyed the Avar state in a series of campaigns (791-796) and dismantled their treasury ('the Ring').
sui_dynasty,Sui Dynasty,,han,middle_chinese,buddhism,chinese_imperial,yellow_river|yangtze,581,618,,Buddhism was a major state religion alongside Confucianism; Sui rulers were devout Buddhists
harsha_empire,Harsha Empire,,indo_aryan,classical_sanskrit,buddhism,imperial_monarchy,ganges_plain,606,647,,"Last major Hindu-Buddhist empire of the Ganges plain before the Islamic conquests. Harsha personally wrote Sanskrit plays and patronised the scholar Xuanzang (the Chinese pilgrim whose journey inspired Journey to the West). His empire collapsed immediately after his death, leaving no successors."
tang_dynasty,Tang Dynasty,,han,middle_chinese,confucianism,chinese_imperial,yellow_river|yangtze,618,907,huichang_suppression,"Tang royal family had partial Xianbei ancestry but identified as Han; cosmopolitan — Buddhism, Taoism, Nestorian Christianity, and Islam all coexisted; Confucian exam system perfected"
rashidun_caliphate,Rashidun Caliphate,,semitic,arabic,sunni,caliphate,arabia|levant|mesopotamia|egypt|iran_plateau,632,661,,
khazar_khaganate,Khazar Khaganate,,turkic,old_turkic,rabbinic_judaism,khaganate,pontic_steppe|caucasus,650,969,,Ruling class converted to Judaism — a unique case; possibly a diplomatic choice to remain neutral between the Christian Byzantine and Muslim Abbasid spheres
umayyad_caliphate,Umayyad Caliphate,,semitic,arabic,sunni,caliphate,levant|mesopotamia|egypt|iran_plateau|north_africa|iberia|transoxiana,661,750,,Aggressively Arab-supremacist; non-Arab Muslims (mawali) had second-class status — this fueled the Abbasid revolution
unified_silla,Unified Silla,,korean,old_korean,buddhism,centralized_monarchy,korean_peninsula,668,935,,"Silla allied with the Tang Dynasty to defeat Baekje and Goguryeo, then successfully expelled Tang forces to unify the peninsula south of the Taedong River."
first_bulgarian_empire,First Bulgarian Empire,,south_slavic,old_church_slavonic,eastern_orthodox,feudal_monarchy,balkans,681,1018,,"Founded by Bulgars (a Turkic/steppe people) who subjugated Slavic tribes south of the Danube; the ruling Bulgar class was rapidly absorbed by the Slavic majority. Christianised under Boris I (864) who chose Constantinople over Rome — defining Bulgaria as Orthodox. The Golden Age under Simeon I (893–927) saw Bulgaria become the dominant Balkan power, rivalling Byzantium. Destroyed by Byzantine Emperor Basil II 'the Bulgar-Slayer' at the Battle of Kleidion (1014); he blinded 15,000 prisoners."
nara_period,Nara Period,,yamato,old_japanese,buddhism,,,710,794,,
al_andalus,Al-Andalus,,semitic,arabic,sunni,caliphate,iberia,711,1492,cordoba_caliphate,The Muslim-ruled territory of Iberia from the Umayyad conquest (711) to the fall of Granada (1492). At its peak (8th–10th centuries) Al-Andalus was the most sophisticated civilisation in Europe — Córdoba rivalled Constantinople and Baghdad. The Caliphate of Córdoba (929–1031) under Abd ar-Rahman III was the golden age. After 1031 it fragmented into taifa kingdoms; the Almoravid (1086) and Almohad (1147) Berber dynasties revived Muslim power but with more rigid Islamic orthodoxy. The Christian Reconquista progressively reduced Al-Andalus until only Granada remained (1238–1492). Concurrent with Christian kingdoms in the north throughout.
uyghur_khaganate,Uyghur Khaganate,,turkic,uyghur_lang,manichaeism,khaganate,mongolian_plateau|central_asian_steppe,744,840,,One of history's few Manichaean states; adopted Manichaeism as state religion after 762 — a major civilizational break from Göktürk Tengriism
abbasid_caliphate,Abbasid Caliphate,,semitic,arabic,sunni_hanafi,caliphate,mesopotamia|levant|iran_plateau|egypt,750,1258,,"Ruling dynasty remained Arab (Qurayshi lineage); Arabic as the language of religion and law. Persian bureaucrats (Barmakid viziers) dominated administration creating a Persianate court overlay — but the legitimacy anchor was Arab/Islamic, not Persian"
pala_empire,Pala Empire,,indo_aryan,pali,buddhism,feudal_monarchy,ganges_plain,750,1200,,The last great Buddhist empire of India; patrons of Nalanda and Vikramashila universities — the apex of Indian Buddhist scholarship. Their fall to the Ghurids (1203) and the subsequent destruction of Nalanda (1203) effectively ended institutional Buddhism in India.
heian_period,Heian Period,,yamato,old_japanese,buddhism,,,794,1185,,
samanid_empire,Samanid Empire,,persian,new_persian,sunni,absolute_monarchy,transoxiana|khorasan,819,999,,"The Samanids were the first Persian dynasty to rule independently after the Arab conquest — an Iranian Renaissance. Under their patronage, Bukhara became one of the Islamic world's great centres of learning. They championed New Persian (Dari) as a literary language: Rudaki wrote there, and Ferdowsi began his Shahnameh at their court. The Samanid bureaucratic model became the template for subsequent Persian and Turkic administrations. Destroyed by the Ghaznavids (east) and Qarakhanids (north)."
kingdom_of_scotland,Kingdom of Scotland,,gaelic,scots_gaelic,catholic,feudal_monarchy,scotland,843,1707,,"Kenneth MacAlpin united the Picts and Gaels. Over centuries the court Normanised and Scots (a Germanic dialect) replaced Gaelic as the lowland tongue, while Gaelic persisted in the Highlands."
kingdom_of_norway,Kingdom of Norway,,norse,old_norse,germanic_paganism,feudal_monarchy,scandinavia,872,1380,,Harald Fairhair unified Norway c.872. Norway entered personal union with Denmark in 1380 after the Oldenburg succession; effectively under Danish rule until 1814.
kievan_rus_regime,Kievan Rus,,east_slavic,old_church_slavonic,eastern_orthodox,grand_principality,kievan_rus,882,1240,,Founded by Varangian (Norse) Rurikids who were rapidly absorbed into Slavic culture. Christianisation under Vladimir I in 988 tied Rus to Constantinople and Eastern Orthodoxy — the defining civilisational choice. Fragmented into competing principalities after Yaroslav's death; destroyed by the Mongol invasion 1237–1241.
bagratid_armenia,Bagratid Armenia,,caucasian,old_armenian,armenian_apostolic,feudal_monarchy,caucasus,885,1064,,"Armenian and Georgian Bagratid dynasties rebuilt Christian statehood after the Arab conquest. The Armenian Bagratids (885-1045) and their Georgian branch created the 'Armenian Renaissance' with Ani as a capital that rivalled Constantinople. Ani fell to the Seljuk Turks in 1064, effectively ending Armenian political independence for centuries."
kingdom_of_bohemia,Kingdom of Bohemia,,czech,czech,catholic,feudal_monarchy,bohemia,895,1526,,"Přemyslid dynasty (895–1306), then Luxembourg (1310–1437). Bohemia became the intellectual centre of the HRE under Charles IV. The Hussite movement (1419–1434) was the first successful proto-Protestant revolt in Europe, a century before Luther."
liao_dynasty,Liao Dynasty (Khitan),,khitan,khitan_lang,buddhism,dual_administration,manchuria|yellow_river,907,1125,,"Dual administration: Khitan customs for nomads, Chinese Confucian system for Han subjects; Buddhism served as a bridge between nomadic and sedentary cultures"
five_dynasties,Five Dynasties (North China),,han,middle_chinese,chinese_folk_religion,,,907,960,,
fatimid_caliphate,Fatimid Caliphate,,semitic,arabic,shia_ismaili,imamate,egypt|levant|north_africa,909,1171,,
ten_kingdoms,Ten Kingdoms (South China),,han,middle_chinese,neo_confucianism,,,907,979,,
goryeo,Goryeo Dynasty,,korean,middle_korean,buddhism,centralized_monarchy,korean_peninsula,918,1392,,"Founded by Wang Geon; successfully resisted multiple Mongol (Yuan) invasions, eventually becoming a vassal-son-in-law state of the Yuan. Known for the Tripitaka Koreana and Goryeo celadon."
kingdom_of_england,Kingdom of England,,english,middle_english,catholic,feudal_monarchy,britannia,927,1707,magna_carta|english_reformation,"Founded by Æthelstan; the Norman Conquest of 1066 replaced the Anglo-Saxon ruling class with a French-speaking Norman aristocracy, creating the distinctive Anglo-Norman culture. By 1300 English had re-emerged as the dominant tongue with heavy French vocabulary."
kingdom_of_denmark,Kingdom of Denmark,,norse,old_norse,catholic,feudal_monarchy,scandinavia,936,,,The dominant Scandinavian power through the Middle Ages; ruled England 1013–1042 (Cnut); lost Sweden definitively in 1658; retains Greenland and Faroe Islands.
northern_song,Northern Song Dynasty,,han,middle_chinese,neo_confucianism,,,960,1127,,
holy_roman_empire,Holy Roman Empire,,german,latin,catholic,elective_monarchy,germany|bohemia|italy,962,1806,golden_bull_1356|peace_of_westphalia,"Neither holy, Roman, nor an empire — Voltaire. A decentralized confederation of German princes, bishops, and city-states under an elected emperor. German princes systematically resisted centralisation; the Peace of Westphalia (1648) effectively made the HRE a loose alliance of sovereign states."
kingdom_of_poland,Kingdom of Poland,,polish,latin,catholic,feudal_monarchy,poland,966,1569,,"Piast dynasty (966–1370), then Jagiellonian (1386–1569). Mieszko I's baptism in 966 is the founding moment of the Polish state. The Union of Lublin (1569) transformed the Polish-Lithuanian personal union into a real Commonwealth."
kingdom_of_sweden,Kingdom of Sweden,,norse,old_norse,catholic,feudal_monarchy,scandinavia,970,,,"Broke from the Kalmar Union in 1523 under Gustav Vasa; became a major European Great Power in the 17th century (Swedish Empire, Stormaktstiden); lost Finland to Russia in 1809."
ghaznavid_empire,Ghaznavid Empire,,turkic,new_persian,sunni,sultanate,khorasan|transoxiana|indus_valley|punjab,977,1186,,"Founded by Sebüktigin, a Turkish slave-soldier (ghulam) who rose to govern Ghazni (modern Afghanistan) under the Samanids. His son Mahmud of Ghazni (998–1030) transformed it into a great empire, launching 17 raids into the Indian subcontinent — breaking the Hindu Shahi kingdoms and establishing Islam in the Punjab. The Ghaznavids were patrons of Persian language and literature (the Shahnameh was written for Mahmud). Destroyed by the Ghurids."
kingdom_of_france,Kingdom of France,,french,french,catholic,absolute_monarchy,gaul,987,1792,edict_of_nantes,"Capetian (987–1328), Valois (1328–1589), Bourbon (1589–1792) — three dynasties but one continuous institution. The most powerful western European monarchy of the High and Late Middle Ages. Absolute monarchy reached its apogee under Louis XIV."
kingdom_of_hungary,Kingdom of Hungary,,magyar,latin,catholic,feudal_monarchy,hungary,1000,1526,,"Founded by Stephen I who received a crown from Pope Sylvester II. Medieval Hungary was one of the largest European kingdoms, stretching from the Adriatic to Transylvania. The Battle of Mohács (1526) ended the medieval kingdom; Hungary was split between Ottoman and Habsburg rule."
seljuk_empire,Seljuk Empire,,turkic,new_persian,sunni_hanafi,sultanate,transoxiana|iran_plateau|mesopotamia|khorasan,1037,1194,,"Oghuz Turkic rulers adopted Persian as court language; patronized Persian scholars — Omar Khayyam, al-Ghazali, Nizam al-Mulk all flourished under Seljuk rule"
seljuk_rum,Sultanate of Rum,,turkic,new_persian,sunni_hanafi,sultanate,anatolia,1077,1307,,Rumi composed his poetry in Persian at this court in Konya
jin_dynasty_jurchen,Jin Dynasty (Jurchen),,jurchen,jurchen_lang,buddhism,dual_administration,manchuria|yellow_river,1115,1234,,Jurchen rulers resisted Sinicization; maintained Jurchen script and shamanistic traditions alongside Buddhism; used a dual admin system similar to Liao
southern_song,Southern Song Dynasty,,han,middle_chinese,neo_confucianism,,,1127,1279,,
angevin_empire,Angevin Empire,,french,french,catholic,feudal_monarchy,aquitaine|gaul,1154,1204,,"The Plantagenet dynasty empire under Henry II (who married Eleanor of Aquitaine), controlling Normandy, Anjou, Maine, Touraine, Poitou, and Aquitaine across the Channel plus England. A cross-Channel feudal aggregate rather than a unified state — conflict with the French crown over the vassal relationship was constant. John's loss of Normandy and Angevin lands in France (1202–1204) ended the continental empire; England persisted as the Plantagenet realm."
ayyubid_sultanate,Ayyubid Sultanate,,kurdish,arabic,sunni_shafi,sultanate,egypt|levant,1171,1260,,Saladin was Kurdish but the court operated fully in Arabic-Islamic culture
feudal_japan,Feudal Japan,,yamato,early_modern_japanese,shinto_buddhism,feudal_monarchy,japanese_archipelago,1185,1603,,"The Kamakura, Muromachi, and Sengoku periods. Decentralized feudal system with competing daimyo (lords) and regional warlords. Ends with the unification by Oda Nobunaga and Toyotomi Hideyoshi, preparing ground for Tokugawa shogunate."
serbian_empire,Serbian Empire (Nemanjić Dynasty),,south_slavic,old_church_slavonic,eastern_orthodox,feudal_monarchy,balkans,1190,1389,,"Stefan Nemanja founded the medieval Serbian state (1168). His son Sava established the Serbian Orthodox Church (1219) — the key institution of Serbian national identity. Stefan Dušan (1331–1355) expanded Serbia to its greatest extent (Macedonia, Albania, Greece) and crowned himself Emperor of the Serbs and Greeks. The empire collapsed after his death; the Battle of Kosovo (1389) against the Ottomans ended Serbian independence for five centuries."
khwarazmian_empire,Khwarazmian Empire,,turkic,new_persian,sunni,absolute_monarchy,transoxiana,1200,1220,,"Shah Ala ad-Din Muhammad II rapidly built a vast empire covering Persia and Central Asia — briefly the most powerful state in the Islamic world. His catastrophic decision to execute Genghis Khan's trade envoys (1218) provoked the Mongol invasion. Within three years his empire was destroyed, millions killed, and the cities of Central Asia — Samarkand, Bukhara, Merv, Nishapur — were annihilated. The Khwarazmian destruction was one of the worst demographic catastrophes in history."
delhi_sultanate,Delhi Sultanate,,turkic,new_persian,sunni_hanafi,sultanate,indus_valley|punjab|ganges_plain,1206,1526,,Established the Persianate Islamic cultural layer in India; Persian as court language; laid the groundwork for the Hindu-Muslim civilizational divide that defines the subcontinent to this day
mongol_empire,Mongol Empire,,mongol,classical_mongolian,tengriism,khaganate,mongolian_plateau|central_asian_steppe|transoxiana|iran_plateau|khorasan|mesopotamia|yellow_river|yangtze|manchuria,1206,1368,yasa_tolerance,Religiously tolerant by policy (Yasa law); the different successor khanates each converted to the local dominant religion
chagatai_khanate,Chagatai Khanate,,mongol,uyghur_lang,sunni_hanafi,khanate,transoxiana|central_asian_steppe,1226,1347,,Chagatai Turkic became the prestige literary language of Central Asia after Mongol Turkification
teutonic_order,Teutonic Order (Monastic State),,german,german,catholic,theocratic_order,prussia,1230,1525,,Crusading military order invited to Christianise the pagan Old Prussians; completed the conquest by 1283 (exterminating or assimilating the indigenous Prussians). At their peak controlled the entire Baltic coast from Danzig to Estonia. Catastrophically defeated at Grunwald (1410) by Poland-Lithuania; dissolved its monastic state and became a secular Duchy of Prussia in 1525.
grand_duchy_of_lithuania,Grand Duchy of Lithuania,,lithuanian,old_east_slavic,lithuanian_paganism,grand_duchy,lithuania|kievan_rus,1236,1569,,"The last pagan state in Europe, Christianised only in 1387 when Jogaila married Jadwiga of Poland. At its peak the Grand Duchy stretched from the Baltic to the Black Sea, encompassing most of modern Ukraine and Belarus. Its administrative language was Ruthenian (Old East Slavic), not Lithuanian."
golden_horde,Golden Horde,,mongol,kipchak_branch,sunni_hanafi,khanate,pontic_steppe|central_asian_steppe,1242,1502,,Converted to Sunni Islam ~1313 under Özbeg Khan; Mongol rulers gradually Turkified — adopted Kipchak Turkic as the dominant language
mamluk_sultanate,Mamluk Sultanate,,turkic,arabic,sunni_shafi,sultanate,egypt|levant,1250,1517,,Turkic slave-soldier rulers but court and administration were Arabic-Islamic
ilkhanate,Ilkhanate,,mongol,new_persian,sunni_hanafi,khanate,iran_plateau|mesopotamia|khorasan|caucasus,1256,1335,,Started Tengriist/Buddhist; converted to Sunni Islam and were fully Persianized — Persian remained the language of court and literature
yuan_dynasty,Yuan Dynasty,,mongol,classical_mongolian,vajrayana,imperial_monarchy,yellow_river|yangtze|manchuria,1271,1368,,Kublai Khan adopted Tibetan Buddhism (Vajrayana) as state religion and Phags-pa Lama as spiritual authority; deliberately avoided Sinicization — Chinese barred from top posts; Mongol identity maintained as ruling class
grand_duchy_moscow,Grand Duchy of Moscow,,russian,russian,eastern_orthodox,,,1283,1547,,
ottoman_empire,Ottoman Empire,,turkic,ottoman_turkish,sunni_hanafi,caliphate,anatolia|balkans|levant|mesopotamia|egypt|north_africa|caucasus,1299,1922,millet_system|tanzimat,"Claimed the Caliphate title after conquering Mamluk Egypt (1517). Unlike earlier Turkic states, developed a distinct Turkic-Islamic identity rather than Persianizing. Ruled Orthodox Christians, Catholics, Jews, and Arabs as separate millets (religious communities) — religion defined the subject's legal identity, not ethnicity"
