id,name,ethnicity,origin_region,note
kim_silla,Kim,korean,korea,Royal family of Silla
kotromanić,Kotromanić,south_slavic,balkans,Bosnian royal house
lakhmid,Lakhmid,arab,mesopotamia,Pre-Islamic Arab vassal dynasty
li_tang,Li,han_chinese,yellow_river,Tang dynasty imperial clan
lombard_royal,Lombard Royal,germanic_peoples,italy,Germanic dynasty in Italy
macedonian_argead,Argead,ancient_greek,balkans,Philip II and Alexander's dynasty
mamluk_bahri,Bahri Mamluk,turkic_cluster,egypt,Turkic slave-soldier dynasty
marinid,Marinid,berber,north_africa,Zenata Berber dynasty
maurya,Maurya,indo_aryan_cluster,india,Chandragupta Maurya's dynasty
muhammad_ali,Muhammad Ali,arab,egypt,Albanian-origin dynasty in Egypt
mughal,Mughal,turkic_cluster,india,Timurid branch in India
nanda,Nanda,indo_aryan_cluster,india,Magadha dynasty before Maurya
nemanjić,Nemanjić,south_slavic,balkans,Medieval Serbian royal dynasty
ottoman,Ottoman,turkic_cluster,anatolia,House of Osman
pala,Pala,indo_aryan_cluster,india,Bengali Buddhist dynasty
pallava,Pallava,dravidian_cluster,india,South Indian dynasty at Kanchipuram
pandya,Pandya,dravidian_cluster,india,Ancient Tamil dynasty of Madurai
piast,Piast,polish,poland,First Polish royal dynasty
plantagenet,Plantagenet,french,gaul,Anglo-French dynasty ruling England
pratihara,Pratihara,indo_aryan_cluster,india,Rajput dynasty of Kannauj
ptolemaic,Ptolemaic,ancient_greek,egypt,Macedonian dynasty in Egypt
qara_khitai,Yelü,khitan,central_asian_steppe,Khitan dynasty of Western Liao
rashidun,Rashidun,arab,arabia,First four caliphs (elected not dynastic)
rashtrakuta,Rashtrakuta,dravidian_cluster,india,Deccan dynasty
romanov,Romanov,east_slavic,russia,Russian imperial dynasty
roman_julio_claudian,Julio-Claudian,roman,italy,First Roman imperial dynasty
rouran,Rouran,mongol,mongolian_plateau,Proto-Mongol khagan clan
rurikid,Rurikid,east_slavic,russia,Varangian-origin dynasty of Rus
rustamid,Rustamid,persian,north_africa,Ibadi dynasty in Tahert
saadian,Saadian,berber,north_africa,Sharifian dynasty in Morocco
safavid,Safavid,persian,iran_plateau,Sufi order dynasty
saffarid,Saffarid,persian,khorasan,Founded by Yaqub ibn Laith
sajid,Sajid,arab,caucasus,Arab dynasty in Azerbaijan
samanid,Samanid,persian,transoxiana,Persian dynasty in Transoxiana
satavahana,Satavahana,dravidian_cluster,india,Andhra dynasty
saudi,Saudi,arab,arabia,House of Saud
seleucid,Seleucid,ancient_greek,levant,Successor dynasty of Seleucus
seljuk,Seljuk,turkic_cluster,central_asian_steppe,Oghuz Turkic dynasty
sena,Sena,indo_aryan_cluster,india,Bengali Hindu dynasty
shunga,Shunga,indo_aryan_cluster,india,Brahmin dynasty after Maurya
sikh_sukerchakia,Sukerchakia,punjabi,punjab,Sikh dynasty of Ranjit Singh
solomonic,Solomonic,amhara,east_africa,Ethiopian dynasty claiming Solomonic descent
stuart,Stuart,scottish_gaelic,britain,Scottish-English royal house
sui_yang,Yang,han_chinese,yellow_river,Sui dynasty imperial clan
sulayhid,Sulayhid,arab,arabia,Ismaili dynasty in Yemen
tahirid,Tahirid,persian,khorasan,First independent Persian dynasty under Abbasids
timurid,Timurid,turkic_cluster,transoxiana,Tamerlane's dynasty
tokugawa,Tokugawa,yamato,japan,Shogunal dynasty of Edo period
trpimirović,Trpimirović,croatian,balkans,Croatian royal dynasty
tulunid,Tulunid,turkic_cluster,egypt,Turkic dynasty in Egypt
turgesh,Turgesh,turkic,central_asian_steppe,Turkic tribal dynasty
umayyad,Umayyad,arab,levant,First hereditary caliphate dynasty
uyghur,Uyghur,turkic_cluster,central_asian_steppe,Yaghlakar clan
vakataka,Vakataka,indo_aryan_cluster,india,Deccan dynasty contemporary with Gupta
wang_goryeo,Wang,korean,korea,Royal family of Goryeo
wattasid,Wattasid,berber,north_africa,Successor to Marinids in Morocco
western_chalukya,Western Chalukya,dravidian_cluster,india,Kalyani Chalukya branch
yadava,Yadava,indo_aryan_cluster,india,Seuna dynasty of Devagiri
zagwe,Zagwe,cushitic_cluster,east_africa,Agaw dynasty before Solomonic restoration
zand,Zand,persian,iran_plateau,Lak tribal dynasty
zangid,Zangid,turkic_cluster,mesopotamia,Turkic atabeg dynasty
zhou_ji,Ji,han_chinese,yellow_river,Zhou dynasty royal clan
zhu_ming,Zhu,han_chinese,yellow_river,Ming dynasty imperial clan
zirid,Zirid,berber,north_africa,Sanhaja Berber dynasty
ziyadid,Ziyadid,arab,arabia,Arab dynasty in Yemen
sargonid,Sargonid,akkadian,mesopotamia,Dynasty of Sargon of Akkad
ur_iii_royal,Ur-Nammuid,sumerian,mesopotamia,Third Dynasty of Ur
amorite,Amorite,babylonian,mesopotamia,Old Babylonian dynasty of Hammurabi
chaldean,Chaldean,babylonian,mesopotamia,Neo-Babylonian Chaldean dynasty
neo_assyrian_royal,Neo-Assyrian Royal,assyrian,mesopotamia,Sargonid dynasty of Assyria
middle_assyrian_royal,Middle Assyrian Royal,assyrian,mesopotamia,Adaside dynasty
elamite_royal,Elamite Royal,persian,iran_plateau,Dynasty of Elam
urartu_royal,Urartu Royal,caucasian_peoples,caucasus,Royal house of Urartu
old_kingdom_royal,Old Kingdom Royal,egyptian,egypt,Pharaonic dynasties of Old Kingdom
new_kingdom_royal,New Kingdom Royal,egyptian,egypt,18th-20th dynasty pharaohs
himyarite,Himyarite,semitic_cluster,arabia,South Arabian royal house
nabataean,Nabataean,semitic_cluster,levant,Aretas dynasty
palmyrene,Palmyrene,semitic_cluster,levant,House of Odaenathus and Zenobia
saba_royal,Saba Royal,semitic_cluster,arabia,Mukarribs and Kings of Saba
aksumite,Aksumite,cushitic_cluster,east_africa,Royal house of Aksum
makuria_royal,Makuria Royal,nubian,nubia,Christian Nubian dynasty
funj,Funj,nubian,nubia,Funj royal house
david_solomon,Davidic,hebrew,levant,House of David
avar_royal,Avar Royal,central_asian_steppe_bloc,central_asian_steppe,Avar khagan dynasty
xiongnu_royal,Xiongnu Royal,turkic_cluster,mongolian_plateau,Luandi clan
kara_khanid,Kara-Khanid,turkic_cluster,central_asian_steppe,Karluk-origin Turkic dynasty
khazar,Khazar,turkic_cluster,central_asian_steppe,Khazar khagan dynasty
crimean_giray,Giray,turkic_cluster,pontic_steppe,Borjigin-descended Crimean dynasty
kazan_giray,Kazan Giray,tatar,russia,Borjigin branch in Kazan
gediminas,Gediminid,lithuanian,balkans,Lithuanian grand ducal dynasty
jagiellon,Jagiellon,polish,poland,Gediminid branch ruling Poland-Lithuania
danish_royal,Danish Royal,scandinavian,scandinavia,Medieval Danish royal house
norwegian_royal,Norwegian Royal,scandinavian,scandinavia,Norwegian royal house
swedish_royal,Swedish Royal,scandinavian,scandinavia,Swedish royal house
dacian_royal,Dacian Royal,thracian,balkans,Burebista and Decebalus dynasty
gepid_royal,Gepid Royal,germanic,balkans,Germanic royal house
visigothic_royal,Visigothic Royal,germanic_peoples,iberia,Balti and Amal dynasties
ostrogothic_amal,Amal,germanic_peoples,italy,Ostrogothic royal house
vandal_royal,Vandal Royal,germanic_peoples,north_africa,Hasdingi dynasty
teutonic,Teutonic,german,germany,Grand Masters of the Teutonic Order
qin_ying,Ying,han_chinese,yellow_river,Qin dynasty imperial clan
shang_zi,Zi,han_chinese,yellow_river,Shang dynasty royal clan
liao_yelu,Yelü,khitan,manchuria,Liao dynasty Khitan clan
jin_wanyan,Wanyan,jurchen,manchuria,Jin dynasty Jurchen clan
western_xia_royal,Weiming,central_asian_steppe_bloc,yellow_river,Tangut imperial clan
tibetan_yarlung,Yarlung,tibetan,tibet,Tibetan imperial dynasty
sassanid,Sassanid,persian,iran_plateau,Last pre-Islamic Persian dynasty
median_royal,Median Royal,median,iran_plateau,Deioces dynasty of Media
indo_greek,Indo-Greek,ancient_greek,india,Hellenistic kings of Bactria-India
indo_scythian,Indo-Scythian,scythian,india,Saka dynasty in India
indo_parthian,Indo-Parthian,parthian,india,Gondopharid dynasty
kushan,Kushan,central_asian_steppe_bloc,india,Yuezhi-origin imperial dynasty
kushano_sassanid,Kushano-Sassanid,persian,khorasan,Sassanid branch in Kushan territory
greek_bactrian,Diodotid,ancient_greek,transoxiana,Greco-Bactrian dynasty
wittelsbach,Wittelsbach,german,germany,Bavarian royal house
aragon_royal,House of Barcelona,catalan,iberia,Catalan counts ruling Aragon
hanover,Hanoverian,german,britain,German dynasty on British throne
savoy,Savoy,italian,italy,Italian royal house
glücksburg,Glücksburg,german,balkans,Modern Greek royal house
hashemite,Hashemite,arab,arabia,Sharifs of Mecca
muhammad_ali_egypt,Muhammad Ali,arab,egypt,Albanian-origin Egyptian dynasty
adal_royal,Adal Royal,somali,east_africa,Walashma dynasty
ifat_royal,Ifat Royal,somali,east_africa,Walashma dynasty in Ifat
bengal_ilyas,Ilyas Shahi,turkic_cluster,india,Bengal sultanate dynasty
delhi_mamluk,Delhi Mamluk,turkic_cluster,india,Slave dynasty of Delhi
bahmani,Bahmani,turkic_cluster,india,Deccan sultanate dynasty
hyderabad_asaf_jahi,Asaf Jahi,turkic_cluster,india,Nizams of Hyderabad
mysore_wadiyar,Wadiyar,dravidian_cluster,india,Mysore royal dynasty
kamarupa_royal,Kamarupa Royal,indo_aryan_cluster,india,Varman and Pala dynasties of Kamarupa
balhae_dae,Dae,korean,manchuria,Balhae royal family
ryukyu_sho,Shō,ryukyuan,japan,Ryukyu royal dynasty
hindu_shahi,Hindu Shahi,indo_aryan,khorasan,Turk Shahi successor dynasty in Gandhara
gutian,Gutian,gutian,mesopotamia,Zagros mountain dynasty
berber_tribal,Berber Tribal,berber,north_africa,Pre-Roman Berber royal houses
hurrian_royal,Hurrian Royal,hurrian,mesopotamia,Mitanni ruling dynasty
funan_royal,Funan Royal,khmer,southeast_asia,Indianized dynasty of Funan
angkor,Angkor,khmer,southeast_asia,Khmer devaraja dynasty
rajasa,Rajasa,javanese,southeast_asia,Singhasari-Majapahit dynasty
dogra,Dogra,indo_aryan,punjab,Dogra Rajput dynasty of Jammu
