panel_id,column_id,row_index,stack_index,era,label,note,span,existing_polity_link,category,entity_id,entity_type
afghanistan,badakhshan,0,1,Prehistoric,Neolithic highland peoples,c.5000 BCE onward,1,neolithic_highland_peoples_culture,linked,,unresolved_link
afghanistan,herat,1,0,Ancient,East Iranian peoples (Avestan sphere — 'Haroiva'),c.1500–700 BCE,1,east_iranian_peoples,linked,,unresolved_link
afghanistan,herat,1,1,Ancient,Media suzerainty,c.678–550 BCE,1,,unclassified,media_suzerainty,unclassified
afghanistan,kandahar,1,0,Ancient,Vedic period (early/middle/late) — Arachosia,c.1500–550 BCE,1,,event,vedic_period,event
afghanistan,kandahar,1,1,Ancient,Gandara · Kamboja (Rigvedic peoples),c.1200–550 BCE,1,gandara_kamboja,linked,,unresolved_link
afghanistan,balkh,1,0,Ancient,Bactrian pastoralists (Avestan 'Bāxδī' — holy land),c.1500–700 BCE,1,bactrian_pastoralists,linked,,unresolved_link
afghanistan,balkh,1,1,Ancient,Central Asian nomadic groups,c.1000–600 BCE,1,central_asian_nomadic_groups,linked,,unresolved_link
afghanistan,kabul,1,0,Ancient,Gandara Grave Culture — early Indo-Aryan,c.1400–600 BCE,1,gandara_grave_culture,linked,,unresolved_link
afghanistan,kabul,1,1,Ancient,Gandara · Kamboja (eastern border peoples),c.1200–550 BCE,1,gandara_kamboja,linked,,unresolved_link
afghanistan,badakhshan,1,0,Ancient,East Iranian highland peoples,c.1500 BCE,1,east_iranian_highland_peoples,linked,,unresolved_link
afghanistan,badakhshan,1,1,Ancient,Nuristani / Dardic ancestors (non-Indo-Iranian),c.1000 BCE,1,nuristani,linked,,unresolved_link
afghanistan,herat,2,0,,Achaemenid Empire — Aria Satrapy,550–330 BCE,1,achaemenid_empire,linked,achaemenid_empire,existing_polity
afghanistan,kandahar,2,0,,Achaemenid Empire — Arachosia Satrapy,550–330 BCE,1,achaemenid_empire,linked,achaemenid_empire,existing_polity
afghanistan,balkh,2,0,,Achaemenid Empire — Bactria Satrapy,550–330 BCE,1,achaemenid_empire,linked,achaemenid_empire,existing_polity
afghanistan,kabul,2,0,,Achaemenid Empire — Gandhara / Paropamisadae Satrapies,550–330 BCE,1,achaemenid_empire,linked,achaemenid_empire,existing_polity
afghanistan,badakhshan,2,0,,Achaemenid Empire — Bactria / Gandhara border,550–330 BCE,1,achaemenid_empire,linked,achaemenid_empire,existing_polity
afghanistan,herat,3,0,,Alexander the Great (Alexandria in Aria),330–323 BCE,1,macedonian_empire,linked,macedonian_empire,existing_polity
afghanistan,herat,3,1,,Seleucid Empire (Aria province),312–250 BCE,1,seleucid_empire,linked,seleucid_empire,existing_polity
afghanistan,herat,3,2,,Greco-Bactrian Kingdom (influence),250–130 BCE,1,greco_bactrian_kingdom,linked,greco_bactrian_kingdom,existing_polity
afghanistan,herat,3,3,,Parthian Empire (Aria satrapy),247 BCE–224 CE,1,parthian_empire,linked,parthian_empire,existing_polity
afghanistan,kandahar,3,0,,Alexander — Alexandria Arachosia (Kandahar),330 BCE,1,macedonian_empire,linked,macedonian_empire,existing_polity
afghanistan,kandahar,3,1,,Seleucid Empire,312–305 BCE,1,seleucid_empire,linked,seleucid_empire,existing_polity
afghanistan,kandahar,3,2,,Maurya Empire,305–185 BCE,1,maurya_empire,linked,maurya_empire,existing_polity
afghanistan,kandahar,3,3,,Greco-Bactrian Kingdom,185–130 BCE,1,greco_bactrian_kingdom,linked,greco_bactrian_kingdom,existing_polity
afghanistan,kandahar,3,4,,Indo-Greek Kingdom,170–10 BCE,1,indo_greek_kingdom,linked,indo_greek_kingdom,existing_polity
afghanistan,kandahar,3,5,,Indo-Scythian Kingdom,c.100 BCE–75 CE,1,indo_scythian_kingdom,linked,indo_scythian_kingdom,existing_polity
afghanistan,balkh,3,0,,Alexander — Alexandria-on-the-Oxus (Balkh),328–323 BCE,1,macedonian_empire,linked,macedonian_empire,existing_polity
afghanistan,balkh,3,1,,Seleucid Empire,312–250 BCE,1,seleucid_empire,linked,seleucid_empire,existing_polity
afghanistan,balkh,3,2,,Greco-Bactrian Kingdom (center — Bactra),250–130 BCE,1,greco_bactrian_kingdom,linked,greco_bactrian_kingdom,existing_polity
afghanistan,balkh,3,3,,Yuezhi (Da Yuezhi) migration through Bactria,c.130–50 BCE,1,,event,yuezhi_migration_through_bactria,event
afghanistan,balkh,3,4,,Kushan Empire (origins here — Yuezhi chiefs),c.50 BCE–375 CE,1,kushan_empire,linked,kushan_empire,existing_polity
afghanistan,kabul,3,0,,Alexander — Paropamisadae / Alexandria sub Caucaso,329–323 BCE,1,macedonian_empire,linked,macedonian_empire,existing_polity
afghanistan,kabul,3,1,,Seleucid Empire,312–305 BCE,1,seleucid_empire,linked,seleucid_empire,existing_polity
afghanistan,kabul,3,2,,Maurya Empire,305–185 BCE,1,maurya_empire,linked,maurya_empire,existing_polity
afghanistan,kabul,3,3,,Greco-Bactrian Kingdom,185–130 BCE,1,greco_bactrian_kingdom,linked,greco_bactrian_kingdom,existing_polity
afghanistan,kabul,3,4,,Indo-Greek Kingdom,170–70 BCE,1,indo_greek_kingdom,linked,indo_greek_kingdom,existing_polity
afghanistan,kabul,3,5,,Indo-Parthian Kingdom,19 BCE–50 CE,1,indo_parthian_kingdom,linked,indo_parthian_kingdom,existing_polity
afghanistan,kabul,3,6,,Kushan Empire,c.50–375 CE,1,kushan_empire,linked,kushan_empire,existing_polity
afghanistan,badakhshan,3,0,,Seleucid → Greco-Bactrian,312–130 BCE,1,seleucid_empire,linked,seleucid_empire,existing_polity
afghanistan,badakhshan,3,1,,Yuezhi transit,c.130 BCE,1,yuezhi_transit,linked,,unresolved_link
afghanistan,badakhshan,3,2,,Kushan Empire,c.50 BCE–375 CE,1,kushan_empire,linked,kushan_empire,existing_polity
afghanistan,herat,4,0,,Parthian Empire (Aria),247 BCE–224 CE,1,parthian_empire,linked,parthian_empire,existing_polity
afghanistan,herat,4,1,,Sassanid Empire,224–651,1,sassanid_empire,linked,sassanid_empire,existing_polity
afghanistan,herat,4,2,,Kidarites / Alchon Huns (Aria),c.350–500,1,kidarites,linked,kidarites,existing_polity
afghanistan,herat,4,3,,Hephthalites,c.450–560,1,hephthalites,linked,hephthalites,existing_polity
afghanistan,herat,4,4,,Sassanid (restored in Aria),560–651,1,sassanid_empire,linked,sassanid_empire,existing_polity
afghanistan,kandahar,4,0,,Kushan Empire,c.50–375 CE,1,kushan_empire,linked,kushan_empire,existing_polity
afghanistan,kandahar,4,1,,Kushano-Sasanian Kingdom (south),c.230–365,1,kushano_sasanian_kingdom,linked,kushano_sasanian_kingdom,existing_polity
afghanistan,kandahar,4,2,,Kidarites · Alchon Huns (Zabulistan),c.350–500,1,kidarites_alchon_huns,linked,kidarites_alchon_huns,existing_polity
afghanistan,kandahar,4,3,,Hephthalite principalities (Zabul / Zun cult),c.450–565,1,hephthalite_principalities,linked,,unresolved_link
afghanistan,balkh,4,0,,Kushan Empire (Bactrian heartland),c.50–375 CE,1,kushan_empire,linked,kushan_empire,existing_polity
afghanistan,balkh,4,1,,Kushano-Sasanian Kingdom,c.230–365,1,kushano_sasanian_kingdom,linked,kushano_sasanian_kingdom,existing_polity
afghanistan,balkh,4,2,,Kidarites,c.350–470,1,kidarites,linked,kidarites,existing_polity
afghanistan,balkh,4,3,,Hephthalites,c.450–560,1,hephthalites,linked,hephthalites,existing_polity
afghanistan,balkh,4,4,,First Türkic Empire (Tokharistan),552–651,1,first_turkic_khaganate,linked,first_turkic_khaganate,existing_polity
afghanistan,kabul,4,0,,Indo-Parthian Kingdom,19 BCE–50 CE,1,indo_parthian_kingdom,linked,indo_parthian_kingdom,existing_polity
afghanistan,kabul,4,1,,Kushan Empire,c.50–375 CE,1,kushan_empire,linked,kushan_empire,existing_polity
afghanistan,kabul,4,2,,Kushano-Sasanian Kingdom,c.230–365,1,kushano_sasanian_kingdom,linked,kushano_sasanian_kingdom,existing_polity
afghanistan,kabul,4,3,,Kidarites / Alchon Huns,c.350–500,1,kidarites,linked,kidarites,existing_polity
afghanistan,kabul,4,4,,Hephthalites,c.450–560,1,hephthalites,linked,hephthalites,existing_polity
afghanistan,kabul,4,5,,First Türkic Empire,552–651,1,first_turkic_khaganate,linked,first_turkic_khaganate,existing_polity
afghanistan,badakhshan,4,0,,Kushan Empire,c.50–375 CE,1,kushan_empire,linked,kushan_empire,existing_polity
afghanistan,badakhshan,4,1,,Kidarites / Alchon Huns,c.350–500,1,kidarites,linked,kidarites,existing_polity
afghanistan,badakhshan,4,2,,Hephthalites,c.450–560,1,hephthalites,linked,hephthalites,existing_polity
afghanistan,herat,5,0,Medieval,Nezak Huns (brief),c.625–650,1,nezak_huns,linked,nezak_huns,existing_polity
afghanistan,herat,5,1,Medieval,Rashidun Caliphate (Herat conquered 651),651–661,1,rashidun_caliphate,linked,rashidun_caliphate,existing_polity
afghanistan,herat,5,2,Medieval,Umayyad Caliphate,661–750,1,umayyad_caliphate,linked,umayyad_caliphate,existing_polity
afghanistan,kandahar,5,0,Medieval,Nezak Huns,c.625–650,1,nezak_huns,linked,nezak_huns,existing_polity
afghanistan,kandahar,5,1,Medieval,Zunbil dynasty (Zabulistan — resisted Arab conquest for 200 years),650–870,1,zunbil_dynasty,linked,zunbil_dynasty,existing_polity
afghanistan,kandahar,5,2,Medieval,Tocharistan Yabgu (northern Kandahar fringe),c.625–738,1,,unclassified,tocharistan_yabgu,unclassified
afghanistan,balkh,5,0,Medieval,Tocharistan Yabgu state,c.625–738,1,tocharistan_yabgu_state,linked,,unresolved_link
afghanistan,balkh,5,1,Medieval,Rashidun conquest (Balkh 652),652–661,1,rashidun_caliphate,linked,rashidun_caliphate,existing_polity
afghanistan,balkh,5,2,Medieval,Umayyad Caliphate (Tokharistan),661–750,1,umayyad_caliphate,linked,umayyad_caliphate,existing_polity
afghanistan,kabul,5,0,Medieval,Türk Shahis (Buddhist Kabul rulers),650–870,1,turk_shahis,linked,turk_shahis,existing_polity
afghanistan,kabul,5,1,Medieval,Tang Dynasty / Anxi Protectorate (nominal),c.660–740,1,tang_dynasty,linked,tang_dynasty,existing_polity
afghanistan,badakhshan,5,0,Medieval,Semi-independent highland principalities,7th–9th c.,1,semi_independent_highland_principalities,linked,,unresolved_link
afghanistan,herat,6,0,,Abbasid Caliphate,750–821,1,abbasid_caliphate,linked,abbasid_caliphate,existing_polity
afghanistan,herat,6,1,,Tahirid dynasty,821–873,1,tahirid_dynasty,linked,tahirid_dynasty,existing_polity
afghanistan,herat,6,2,,Saffarid dynasty (capital: Zaranj — rose from Sistan),873–900,1,saffarid_dynasty,linked,saffarid_dynasty,existing_polity
afghanistan,herat,6,3,,Samanid dynasty,900–999,1,samanid_empire,linked,samanid_empire,existing_polity
afghanistan,kandahar,6,0,,Zunbil dynasty (finally conquered by Saffarids),to 870,1,zunbil_dynasty,linked,zunbil_dynasty,existing_polity
afghanistan,kandahar,6,1,,Saffarid dynasty,870–900,1,saffarid_dynasty,linked,saffarid_dynasty,existing_polity
afghanistan,kandahar,6,2,,Samanid dynasty,900–999,1,samanid_empire,linked,samanid_empire,existing_polity
afghanistan,balkh,6,0,,Abbasid Caliphate,750–821,1,abbasid_caliphate,linked,abbasid_caliphate,existing_polity
afghanistan,balkh,6,1,,Tahirid dynasty,821–873,1,tahirid_dynasty,linked,tahirid_dynasty,existing_polity
afghanistan,balkh,6,2,,Saffarid dynasty,873–900,1,saffarid_dynasty,linked,saffarid_dynasty,existing_polity
afghanistan,balkh,6,3,,Samanid dynasty,900–999,1,samanid_empire,linked,samanid_empire,existing_polity
afghanistan,kabul,6,0,,Türk Shahis → Hindu Shahis (drove out Türk Shahis),870–1026,1,turk_shahis,linked,turk_shahis,existing_polity
afghanistan,kabul,6,1,,Second Türkic Empire (nominal suzerainty),682–744,1,,polity,second_turkic_empire,polity
afghanistan,kabul,6,2,,Saffarid · Samanid (western Kabul pressure),9th–10th c.,1,saffarid_samanid,linked,,unresolved_link
afghanistan,badakhshan,6,0,,Semi-independent / Samanid influence,9th–10th c.,1,,regime,semi_independent_samanid_influence,regime
afghanistan,herat,7,0,,Ghaznavid dynasty,999–1140,1,ghaznavid_empire,linked,ghaznavid_empire,existing_polity
afghanistan,herat,7,1,,Seljuk Empire (Herat — defeat of Ghaznavids),1040–1194,1,seljuk_empire,linked,seljuk_empire,existing_polity
afghanistan,herat,7,2,,Ghorid dynasty,1149–1215,1,ghorid_dynasty,linked,ghorid_dynasty,existing_polity
afghanistan,herat,7,3,,Khwarazmian Empire,1215–1221,1,khwarazmian_empire,linked,khwarazmian_empire,existing_polity
afghanistan,kandahar,7,0,,Ghaznavid dynasty (capital: Ghazni near here),977–1186,1,ghaznavid_empire,linked,ghaznavid_empire,existing_polity
afghanistan,kandahar,7,1,,Ghorid dynasty,1149–1215,1,ghorid_dynasty,linked,ghorid_dynasty,existing_polity
afghanistan,kandahar,7,2,,Khwarazmian Empire,1215–1221,1,khwarazmian_empire,linked,khwarazmian_empire,existing_polity
afghanistan,balkh,7,0,,Ghaznavid dynasty,999–1040,1,ghaznavid_empire,linked,ghaznavid_empire,existing_polity
afghanistan,balkh,7,1,,Seljuk Empire,1040–1194,1,seljuk_empire,linked,seljuk_empire,existing_polity
afghanistan,balkh,7,2,,Ghorid dynasty (Balkh capital at times),1149–1215,1,ghorid_dynasty,linked,ghorid_dynasty,existing_polity
afghanistan,balkh,7,3,,Khwarazmian Empire,1215–1221,1,khwarazmian_empire,linked,khwarazmian_empire,existing_polity
afghanistan,kabul,7,0,,Ghaznavid dynasty (Ghazni capital),977–1186,1,ghaznavid_empire,linked,ghaznavid_empire,existing_polity
afghanistan,kabul,7,1,,Seljuk Empire (Kabul area),1040s–1186,1,seljuk_empire,linked,seljuk_empire,existing_polity
afghanistan,kabul,7,2,,Ghorid dynasty,1186–1215,1,ghorid_dynasty,linked,ghorid_dynasty,existing_polity
afghanistan,kabul,7,3,,Hindu Shahis (eastern reaches to 1026),to 1026,1,hindu_shahis,linked,hindu_shahis,existing_polity
afghanistan,badakhshan,7,0,,Ghaznavid / Ghorid,999–1215,1,ghaznavid_empire,linked,ghaznavid_empire,existing_polity
afghanistan,herat,8,0,,Mongol Empire (Herat sacked 1221; rebuilt),1221–1245,1,mongol_empire,linked,mongol_empire,existing_polity
afghanistan,herat,8,1,,Kart dynasty (local Persian rulers under Mongol suzerainty),1244–1389,1,,regime,kart_dynasty,regime
afghanistan,herat,8,2,,Il-Khanate (Herat under Kart as vassals),1256–1335,1,ilkhanate,linked,ilkhanate,existing_polity
afghanistan,herat,8,3,,Timurid Empire (Herat — cultural golden age),1381–1507,1,timurid_empire,linked,timurid_empire,existing_polity
afghanistan,kandahar,8,0,,Mongol Empire,1221–1260,1,mongol_empire,linked,mongol_empire,existing_polity
afghanistan,kandahar,8,1,,Il-Khanate,1256–1335,1,ilkhanate,linked,ilkhanate,existing_polity
afghanistan,kandahar,8,2,,Chagatai Khanate (southern Afghanistan),1260–1370,1,chagatai_khanate,linked,chagatai_khanate,existing_polity
afghanistan,kandahar,8,3,,Delhi Sultanate — Khalji / Tughluq (raids),1290–1370,1,delhi_sultanate,linked,delhi_sultanate,existing_polity
afghanistan,kandahar,8,4,,Timurid Empire,1370–1507,1,timurid_empire,linked,timurid_empire,existing_polity
afghanistan,balkh,8,0,,Mongol Empire (Balkh destroyed 1220 — 'Mother of Cities' never fully recovered),1220–1256,1,mongol_empire,linked,mongol_empire,existing_polity
afghanistan,balkh,8,1,,Il-Khanate,1256–1335,1,ilkhanate,linked,ilkhanate,existing_polity
afghanistan,balkh,8,2,,Chagatai Khanate (Transoxiana/Bactria),1260–1370,1,chagatai_khanate,linked,chagatai_khanate,existing_polity
afghanistan,balkh,8,3,,Timurid Empire,1370–1507,1,timurid_empire,linked,timurid_empire,existing_polity
afghanistan,kabul,8,0,,Mongol Empire,1221–1260,1,mongol_empire,linked,mongol_empire,existing_polity
afghanistan,kabul,8,1,,Chagatai Khanate (Kabul area),1260–1370,1,chagatai_khanate,linked,chagatai_khanate,existing_polity
afghanistan,kabul,8,2,,Delhi Sultanate — Slave · Khalji · Tughluq · Sayyid · Lodi (Kabul contested),1206–1451,1,delhi_sultanate,linked,delhi_sultanate,existing_polity
afghanistan,kabul,8,3,,Timurid Empire,1370–1451,1,timurid_empire,linked,timurid_empire,existing_polity
afghanistan,badakhshan,8,0,,Mongol Empire → Il-Khanate → Chagatai,1220–1370,1,mongol_empire,linked,mongol_empire,existing_polity
afghanistan,badakhshan,8,1,,Timurid Empire,1370–1507,1,timurid_empire,linked,timurid_empire,existing_polity
afghanistan,herat,9,0,Modern,Safavid dynasty (Herat — major Safavid city),1510–1717,1,safavid_empire,linked,safavid_empire,existing_polity
afghanistan,herat,9,1,Modern,Afsharid dynasty (Nadir Shah reconquered Herat),1736–1796,1,afsharid_dynasty,linked,afsharid_dynasty,existing_polity
afghanistan,herat,9,2,Modern,Durrani Empire (Ahmad Shah — Afghan unification),1747–1793,1,durrani_empire,linked,durrani_empire,existing_polity
afghanistan,kandahar,9,0,Modern,Safavid dynasty (disputed with Mughals),1510–1709,1,safavid_empire,linked,safavid_empire,existing_polity
afghanistan,kandahar,9,1,Modern,Hotak dynasty (Ghilzai Pashtun — founded in Kandahar),1709–1738,1,hotak_dynasty,linked,hotak_dynasty,existing_polity
afghanistan,kandahar,9,2,Modern,Afsharid dynasty (Nadir Shah defeated Hotakis),1738–1747,1,afsharid_dynasty,linked,afsharid_dynasty,existing_polity
afghanistan,kandahar,9,3,Modern,Durrani Empire (original Durrani capital),1747–1776,1,durrani_empire,linked,durrani_empire,existing_polity
afghanistan,balkh,9,0,Modern,Bukhara Khanate (Uzbek control of Balkh),1500–1646,1,bukhara_khanate,linked,,unresolved_link
afghanistan,balkh,9,1,Modern,Mughal Empire (Shah Jahan conquered Balkh 1646),1646–1647,1,mughal_empire,linked,mughal_empire,existing_polity
afghanistan,balkh,9,2,Modern,Bukhara Khanate (recaptured),1647–1736,1,bukhara_khanate,linked,,unresolved_link
afghanistan,balkh,9,3,Modern,Afsharid dynasty,1736–1747,1,afsharid_dynasty,linked,afsharid_dynasty,existing_polity
afghanistan,balkh,9,4,Modern,Durrani Empire,1747–,1,durrani_empire,linked,durrani_empire,existing_polity
afghanistan,kabul,9,0,Modern,Mughal Empire (Babur — Kabul capital 1504),1504–1738,1,mughal_empire,linked,mughal_empire,existing_polity
afghanistan,kabul,9,1,Modern,Hotak dynasty (briefly held Kabul),1719–1738,1,hotak_dynasty,linked,hotak_dynasty,existing_polity
afghanistan,kabul,9,2,Modern,Afsharid dynasty,1738–1747,1,afsharid_dynasty,linked,afsharid_dynasty,existing_polity
afghanistan,kabul,9,3,Modern,Durrani Empire (capital moved to Kabul 1776),1747–,1,durrani_empire,linked,durrani_empire,existing_polity
afghanistan,badakhshan,9,0,Modern,Timurid / Mughal influence,15th–18th c.,1,timurid_empire,linked,timurid_empire,existing_polity
afghanistan,badakhshan,9,1,Modern,Durrani Empire,1747–,1,durrani_empire,linked,durrani_empire,existing_polity
afghanistan,herat,10,0,,Herat Emirate (Sadozai / Kuhzad),1818–1863,1,herat_emirate,linked,,unresolved_link
afghanistan,kandahar,10,0,,Kandahar Emirate (Sadozai / Barakzai),1818–1855,1,kandahar_emirate,linked,,unresolved_link
afghanistan,balkh,10,0,,Maimana Khanate · Kunduz Khanate,1818–1850s,1,maimana_khanate,linked,,unresolved_link
afghanistan,kabul,10,0,,Kabul Emirate (Barakzai) → Emirate of Afghanistan,1826–1919,1,,regime,kabul_emirate_emirate_of_afghanistan,regime
afghanistan,kabul,10,1,,Anglo-Afghan Wars (1st · 2nd · 3rd) · Great Game,1839–1919,1,,event,anglo_afghan_wars_great_game,event
afghanistan,badakhshan,10,0,,Semi-autonomous principality → Emirate of Afghanistan,1850s–1919,1,,polity,semi_autonomous_principality_emirate_of_afghanistan,polity
afghanistan,herat,11,0,Contemporary,Kingdom of Afghanistan,1919–1973,5,kingdom_of_afghanistan,linked,,unresolved_link
afghanistan,herat,11,1,Contemporary,Republic of Afghanistan (Daoud Khan),1973–1978,5,republic_of_afghanistan,linked,,unresolved_link
afghanistan,herat,11,2,Contemporary,Democratic Republic of Afghanistan (PDPA),1978–1992,5,democratic_republic_of_afghanistan,linked,,unresolved_link
afghanistan,herat,11,3,Contemporary,Soviet-Afghan War,1979–1989,5,,event,soviet_afghan_war,event
afghanistan,herat,12,0,,Islamic State of Afghanistan (Mujahedeen government),1992–1996,1,islamic_state_of_afghanistan,linked,,unresolved_link
afghanistan,herat,12,1,,Northern Alliance stronghold (Herat — Ismail Khan),"1992–1995, 2001",1,northern_alliance_stronghold,linked,,unresolved_link
afghanistan,kandahar,12,0,,Taliban First Emirate,1996–2001,1,taliban_first_emirate,linked,,unresolved_link
afghanistan,balkh,12,0,,Northern Alliance (Balkh — General Dostum base),1992–2001,1,northern_alliance,linked,,unresolved_link
afghanistan,balkh,12,1,,US-led coalition / NATO (ISAF),2001–2021,1,us_led_coalition,linked,,unresolved_link
afghanistan,kabul,12,0,,Islamic Republic of Afghanistan (US-backed),2004–2021,2,islamic_republic_of_afghanistan,linked,,unresolved_link
afghanistan,kabul,12,1,,Taliban Second Emirate,2021–,2,taliban_second_emirate,linked,,unresolved_link
kazakhstan,ural,0,0,Prehistoric,Yamna culture (Pontic–Caspian steppe),c.3500–2200 BCE,1,yamna_culture,linked,,unresolved_link
kazakhstan,ural,0,1,Prehistoric,Abashevo culture,c.2500–1900 BCE,1,abashevo_culture,linked,,unresolved_link
kazakhstan,ural,0,2,Prehistoric,Sintashta (earliest chariots),c.2100–1800 BCE,1,sintashta,linked,,unresolved_link
kazakhstan,caspian,0,0,Prehistoric,Kelteminar culture,c.5000–3000 BCE,1,kelteminar_culture,linked,,unresolved_link
kazakhstan,caspian,0,1,Prehistoric,Yamna / early pastoral cultures,c.3500–2000 BCE,1,yamna_culture,linked,,unresolved_link
kazakhstan,aral,0,0,Prehistoric,Kelteminar culture,c.5000–3000 BCE,1,kelteminar_culture,linked,,unresolved_link
kazakhstan,aral,0,1,Prehistoric,Andronovo culture,c.2000–900 BCE,1,andronovo_culture,linked,,unresolved_link
kazakhstan,steppe,0,0,Prehistoric,Botai culture (horse domestication),c.3500–3000 BCE,1,botai_culture,linked,,unresolved_link
kazakhstan,steppe,0,1,Prehistoric,Andronovo culture,c.2000–900 BCE,1,andronovo_culture,linked,,unresolved_link
kazakhstan,zhetysu,0,0,Prehistoric,Afanasievo culture,c.3300–2500 BCE,1,afanasievo_culture,linked,,unresolved_link
kazakhstan,zhetysu,0,1,Prehistoric,Andronovo culture,c.2000–900 BCE,1,andronovo_culture,linked,,unresolved_link
kazakhstan,ural,1,0,Early Ancient (Bronze Age),Srubnaya (Timber Grave) culture,c.1800–1200 BCE,1,srubnaya_culture,linked,,unresolved_link
kazakhstan,ural,1,1,Early Ancient (Bronze Age),Proto-Scythian cultures,c.1000–700 BCE,1,proto_scythian_cultures_culture,linked,,unresolved_link
kazakhstan,caspian,1,0,Early Ancient (Bronze Age),Srubnaya culture,c.1800–1200 BCE,1,srubnaya_culture,linked,,unresolved_link
kazakhstan,caspian,1,1,Early Ancient (Bronze Age),Cimmerian / early Saka,c.1000–700 BCE,1,cimmerian,linked,,unresolved_link
kazakhstan,aral,1,0,Early Ancient (Bronze Age),Andronovo → Alakul culture,c.1800–1200 BCE,1,,culture,andronovo_alakul_culture,culture
kazakhstan,aral,1,1,Early Ancient (Bronze Age),Saka nomads (early),c.1000–700 BCE,1,saka_nomads,linked,,unresolved_link
